Namespace,Application,Replicas,CPU Limits,Memory Limits,CPU Requests,Memory Requests,HPA Max,HPA Min,Target CPU utilization,Current CPU Utilization,Max Surge
abdw0-prep,bridge-abdw0-rest2host-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
abdw0-prep,core-abilitazioneborse-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
abdw0-prep,core-contratti-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
abdw0-prep,ndce-abilitazioneborse-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
abdw0-prep,ndce-deploy-abilitazioneborse-v1,1,210m,512Mi,50m,500Mi,,,,,50%
abdw0-prod,bridge-abdw0-rest2host-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,,50%
abdw0-prod,core-abilitazioneborse-v1,2,500m,1536Mi,50m,1535Mi,3,2,90,12,50%
abdw0-prod,core-contratti-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,,50%
abdw0-prod,ndce-abilitazioneborse-v1,2,500m,1536Mi,50m,1535Mi,3,2,90,10,50%
abdw0-prod,ndce-deploy-abilitazioneborse-v1,2,210m,512Mi,30m,500Mi,3,2,90,5,50%
brdw0-prep,core-buonidirisparmio-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
brdw0-prep,ndce-buonidirisparmio-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
brdw0-prep,ndce-deploy-buonidirisparmio-v1,1,210m,512Mi,50m,500Mi,,,,,50%
brdw0-prod,core-buonidirisparmio-v1,2,500m,1536Mi,50m,1535Mi,3,2,90,11,50%
brdw0-prod,ndce-buonidirisparmio-v1,2,500m,1536Mi,30m,1535Mi,3,2,90,13,50%
brdw0-prod,ndce-deploy-buonidirisparmio-v1,2,210m,512Mi,30m,500Mi,3,2,90,3,50%
codw0-prep,bridge-codw0-rest2host-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
codw0-prep,core-condizionida-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
codw0-prep,ndce-condizionida-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
codw0-prod,bridge-codw0-rest2host-v1,2,500m,1536Mi,150m,1535Mi,3,2,90,39,50%
codw0-prod,core-condizionida-v1,2,500m,1536Mi,50m,1535Mi,3,2,90,10,50%
codw0-prod,ndce-condizionida-v1,2,500m,1536Mi,50m,1535Mi,3,2,90,11,50%
crtd0-prep,core-googlepay-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
